time,extra_obs,special,type,lat,lon,vmax,mslp,wmo_type,wmo_lat,wmo_lon,wmo_vmax,wmo_mslp,wmo_basin
2018-08-27 00:00:00,0,,DB,13.1,159.3,20,1005,TS,12.16,159.6,,1008,west_pacific
2018-08-27 06:00:00,0,,TD,13.5,159.1,25,1004,TS,13.07,159.17,,1008,west_pacific
2018-08-27 12:00:00,0,,TD,14.1,158.6,30,1002,TS,13.8154,158.777,,1008,west_pacific
2018-08-27 18:00:00,0,,TD,14.7,157.9,30,1003,TS,14.6,157.927,35.0,1004,west_pacific
2018-08-28 00:00:00,0,,TS,15.2,157.1,35,1001,TS,15.35,157.025,40.0,1000,west_pacific
2018-08-28 06:00:00,0,,TS,15.9,156.2,45,989,TS,16.075,156.275,40.0,1000,west_pacific
2018-08-28 12:00:00,0,,TS,16.4,155.3,50,985,TS,16.55,155.45,45.0,996,west_pacific
2018-08-28 18:00:00,0,,TS,16.7,154.3,55,982,TS,16.725,154.375,50.0,992,west_pacific
2018-08-29 00:00:00,0,,TS,16.9,153.4,60,978,TS,17.0,153.45,60.0,990,west_pacific
2018-08-29 06:00:00,0,,TY,17.1,152.4,70,970,TS,17.25,152.3,65.0,985,west_pacific
2018-08-29 12:00:00,0,,TY,17.3,151.3,80,963,TS,17.3,151.375,70.0,980,west_pacific
2018-08-29 18:00:00,0,,TY,17.4,150.3,90,969,TS,17.375,150.45,80.0,965,west_pacific
2018-08-30 00:00:00,0,,TY,17.6,149.2,100,948,TS,17.6,149.15,85.0,955,west_pacific
2018-08-30 06:00:00,0,,TY,17.7,148.1,110,941,TS,17.7,148.1,90.0,940,west_pacific
2018-08-30 12:00:00,0,,TY,17.8,146.8,125,929,TS,17.8,146.875,95.0,935,west_pacific
2018-08-30 18:00:00,0,,ST,17.8,145.4,140,921,TS,17.8,145.4,100.0,925,west_pacific
2018-08-31 00:00:00,0,,ST,17.9,144.1,150,911,TS,17.9,144.175,105.0,915,west_pacific
2018-08-31 06:00:00,0,,ST,18.2,142.7,155,907,TS,18.25,142.675,105.0,915,west_pacific
2018-08-31 12:00:00,0,,ST,18.5,141.5,150,911,TS,18.5,141.475,105.0,915,west_pacific
2018-08-31 18:00:00,0,,ST,19.0,140.3,145,914,TS,19.075,140.275,105.0,915,west_pacific
2018-09-01 00:00:00,0,,ST,19.6,139.2,140,915,TS,19.6,139.2,105.0,915,west_pacific
2018-09-01 06:00:00,0,,ST,20.4,138.2,140,918,TS,20.375,138.25,105.0,915,west_pacific
2018-09-01 12:00:00,0,,ST,21.0,137.4,135,922,TS,21.0,137.35,100.0,925,west_pacific
2018-09-01 18:00:00,0,,TY,21.7,136.5,125,929,TS,21.75,136.5,95.0,935,west_pacific
2018-09-02 00:00:00,0,,TY,22.7,135.7,120,933,TS,22.675,135.8,95.0,935,west_pacific
2018-09-02 06:00:00,0,,TY,23.7,134.9,125,929,TS,23.65,134.975,95.0,935,west_pacific
2018-09-02 12:00:00,0,,TY,24.5,134.4,120,931,TS,24.5,134.375,95.0,935,west_pacific
2018-09-02 18:00:00,0,,TY,25.5,133.8,115,936,TS,25.5,133.75,95.0,935,west_pacific
2018-09-03 00:00:00,0,,TY,26.5,133.1,110,939,TS,26.55,133.15,90.0,940,west_pacific
2018-09-03 06:00:00,0,,TY,27.4,132.6,105,943,TS,27.475,132.575,90.0,940,west_pacific
2018-09-03 12:00:00,0,,TY,28.8,132.5,105,943,TS,28.65,132.525,90.0,940,west_pacific
2018-09-03 18:00:00,0,,TY,30.3,132.8,100,942,TS,30.275,132.875,85.0,945,west_pacific
2018-09-04 00:00:00,0,,TY,32.4,133.8,100,942,TS,32.35,133.8,85.0,950,west_pacific
2018-09-04 06:00:00,0,,TY,35.3,135.7,80,963,TS,35.4933,135.62,75.0,965,west_pacific
2018-09-04 12:00:00,0,,EX,39.2,137.6,60,978,MX,39.2917,137.683,65.0,970,west_pacific
2018-09-04 18:00:00,0,,EX,43.2,139.5,50,985,MX,43.1111,139.456,50.0,975,west_pacific
